dataset_label,scenario_label,onset_time_s,ramp_duration_s,direction_label,offset_mode_label,position_offset_north_m,position_offset_east_m,position_offset_down_m,velocity_offset_north_mps,velocity_offset_east_mps,velocity_offset_down_mps,total_samples,spoof_labeled_samples,clean_labeled_samples,trusted_verdicts,flagged_verdicts,rejected_verdicts,anomaly_tpr,anomaly_fpr,rejected_tpr,rejected_fpr,first_spoof_labeled_sample_index,first_anomaly_sample_index,first_rejected_sample_index,samples_from_onset_to_first_anomaly,samples_from_onset_to_first_rejection,mean_evaluation_latency_us,p95_evaluation_latency_us,max_evaluation_latency_us
px4_hover,nominal,0.0,0.0,none,none,0.0,0.0,0.0,0.0,0.0,0.0,120,0,120,120,0,0,0.0,0.0,0.0,0.0,,,,,,235.7436833333332,263.303,515.707
px4_hover,north_onset_2.0_ramp_0.0_pos,2.0,0.0,north,position_only,30.0,0.0,0.0,0.0,0.0,0.0,120,120,0,34,19,67,0.7166666666666667,0.0,0.5583333333333333,0.0,1,1,1,1,1,231.23529999999994,248.90300000000002,425.40500000000003
px4_hover,north_onset_2.0_ramp_0.0_posvel,2.0,0.0,north,position_plus_velocity,30.0,0.0,0.0,8.0,0.0,0.0,120,120,0,0,0,120,1.0,0.0,1.0,0.0,1,1,1,1,1,231.64030833333325,261.203,413.505
px4_hover,east_onset_2.0_ramp_0.0_pos,2.0,0.0,east,position_only,0.0,30.0,0.0,0.0,0.0,0.0,120,120,0,35,19,66,0.7083333333333334,0.0,0.55,0.0,1,1,1,1,1,234.18117499999997,269.10299999999995,561.407
px4_hover,east_onset_2.0_ramp_0.0_posvel,2.0,0.0,east,position_plus_velocity,0.0,30.0,0.0,0.0,8.0,0.0,120,120,0,0,0,120,1.0,0.0,1.0,0.0,1,1,1,1,1,231.03446666666667,264.304,275.303
px4_hover,northeast_onset_2.0_ramp_0.0_pos,2.0,0.0,northeast,position_only,21.213203,21.213203,0.0,0.0,0.0,0.0,120,120,0,31,21,68,0.7416666666666667,0.0,0.5666666666666667,0.0,1,1,1,1,1,231.6052916666666,256.503,422.80600000000004
px4_hover,northeast_onset_2.0_ramp_0.0_posvel,2.0,0.0,northeast,position_plus_velocity,21.213203,21.213203,0.0,5.656854,5.656854,0.0,120,120,0,0,0,120,1.0,0.0,1.0,0.0,1,1,1,1,1,229.34692499999986,252.703,300.00300000000004
px4_hover,northwest_onset_2.0_ramp_0.0_pos,2.0,0.0,northwest,position_only,21.213203,-21.213203,0.0,0.0,0.0,0.0,120,120,0,43,15,62,0.6416666666666667,0.0,0.5166666666666667,0.0,1,1,1,1,1,233.00614166666645,271.304,417.705
px4_hover,northwest_onset_2.0_ramp_0.0_posvel,2.0,0.0,northwest,position_plus_velocity,21.213203,-21.213203,0.0,5.656854,-5.656854,0.0,120,120,0,0,0,120,1.0,0.0,1.0,0.0,1,1,1,1,1,235.70784999999998,268.50399999999996,531.106
px4_hover,north_onset_2.0_ramp_1.0_pos,2.0,1.0,north,position_only,30.0,0.0,0.0,0.0,0.0,0.0,120,120,0,34,19,67,0.7166666666666667,0.0,0.5583333333333333,0.0,1,1,1,1,1,240.6854166666667,287.703,529.007
